name: WX-Pasl
time                 value
----                 -----
2019-01-02T01:45:05Z 10192.13
2019-01-02T01:50:05Z 10191.30
2019-01-02T01:55:04Z 10192.71
2019-01-02T02:00:04Z 10191.49
2019-01-02T02:05:04Z 10191.11
2019-01-02T02:10:04Z 10190.86
2019-01-02T02:15:04Z 10192.13
2019-01-02T02:20:04Z 10191.50
2019-01-02T02:25:03Z 10189.62
2019-01-02T02:30:04Z 10190.83
2019-01-02T02:35:04Z 10189.62
2019-01-02T02:40:05Z 10190.34
2019-01-02T02:45:04Z 10191.45
2019-01-02T02:50:04Z 10188.13
2019-01-02T02:55:06Z 10190.65
2019-01-02T03:00:04Z 10190.26
2019-01-02T03:05:04Z 10189.36
2019-01-02T03:10:04Z 10186.73
2019-01-02T03:15:05Z 10186.53
2019-01-02T03:20:05Z 10186.84
2019-01-02T03:25:05Z 10187.26
2019-01-02T03:30:04Z 10186.29
2019-01-02T03:35:04Z 10185.40
2019-01-02T03:40:06Z 10188.15
2019-01-02T03:45:04Z 10186.28
2019-01-02T03:50:04Z 10184.28
2019-01-02T03:55:05Z 10184.08
2019-01-02T04:00:06Z 10184.39
2019-01-02T04:05:04Z 10182.78
2019-01-02T04:10:04Z 10183.72
2019-01-02T04:15:05Z 10184.63
2019-01-02T04:20:05Z 10184.95
2019-01-02T04:25:04Z 10183.33
2019-01-02T04:30:06Z 10185.71
2019-01-02T04:35:03Z 10187.52
2019-01-02T04:40:05Z 10187.13
2019-01-02T04:45:04Z 10188.05
2019-01-02T04:50:06Z 10189.17
2019-01-02T04:55:04Z 10190.90
2019-01-02T05:00:04Z 10190.79
2019-01-02T05:05:04Z 10191.32
2019-01-02T05:10:03Z 10191.52
2019-01-02T05:15:04Z 10191.15
2019-01-02T05:20:04Z 10196.03
2019-01-02T05:25:04Z 10197.34
2019-01-02T05:30:04Z 10197.85
2019-01-02T05:35:04Z 10199.10
2019-01-02T05:40:04Z 10197.51
2019-01-02T05:50:03Z 10202.42
2019-01-02T05:55:04Z 10203.53
2019-01-02T06:00:04Z 10203.42
2019-01-02T06:05:04Z 10202.02
2019-01-02T06:10:04Z 10204.84
2019-01-02T06:15:04Z 10209.61
2019-01-02T06:20:04Z 10207.56
2019-01-02T06:25:06Z 10209.55
2019-01-02T06:30:09Z 10210.57
2019-01-02T06:35:04Z 10210.66
2019-01-02T06:40:04Z 10212.44
2019-01-02T06:45:04Z 10213.47
2019-01-02T06:50:04Z 10209.90
2019-01-02T06:55:04Z 10214.37
2019-01-02T07:00:05Z 10216.36
2019-01-02T07:05:05Z 10216.02
2019-01-02T07:10:05Z 10213.92
2019-01-02T07:15:04Z 10211.16
2019-01-02T07:20:04Z 10211.29
2019-01-02T07:25:04Z 10210.56
2019-01-02T07:30:04Z 10211.45
2019-01-02T07:35:10Z 10211.63
2019-01-02T07:40:03Z 10212.81
2019-01-02T07:45:08Z 10212.68
2019-01-02T07:50:04Z 10215.27
2019-01-02T07:55:04Z 10210.99
2019-01-02T08:00:04Z 10207.23
2019-01-02T08:05:05Z 10207.20
2019-01-02T08:10:04Z 10209.66
2019-01-02T08:15:04Z 10208.84
2019-01-02T08:20:04Z 10209.17
2019-01-02T08:25:03Z 10208.18
2019-01-02T08:30:09Z 10209.36
2019-01-02T08:35:03Z 10206.72
2019-01-02T08:40:09Z 10206.97
2019-01-02T08:45:03Z 10205.02
2019-01-02T08:50:09Z 10205.77
2019-01-02T08:55:03Z 10206.44
2019-01-02T09:00:09Z 10204.33
2019-01-02T09:05:09Z 10206.86
2019-01-02T09:10:03Z 10207.79
2019-01-02T09:15:05Z 10205.87
2019-01-02T09:20:03Z 10203.76
2019-01-02T09:25:10Z 10203.68
2019-01-02T09:30:03Z 10203.27
2019-01-02T09:35:04Z 10203.11
2019-01-02T09:40:09Z 10202.84
2019-01-02T09:45:03Z 10201.44
2019-01-02T09:50:05Z 10200.09
2019-01-02T09:55:08Z 10200.04
2019-01-02T10:00:04Z 10199.82
2019-01-02T10:05:04Z 10200.44
2019-01-02T10:10:03Z 10200.71
2019-01-02T10:15:05Z 10201.98
2019-01-02T10:20:08Z 10199.23
2019-01-02T10:25:04Z 10198.66
2019-01-02T10:30:04Z 10198.37
2019-01-02T10:35:03Z 10195.87
2019-01-02T10:40:04Z 10195.89
2019-01-02T10:45:04Z 10196.78
2019-01-02T10:50:05Z 10194.63
2019-01-02T10:55:04Z 10194.76
2019-01-02T11:00:03Z 10194.33
2019-01-02T11:05:04Z 10192.47
2019-01-02T11:10:09Z 10190.89
2019-01-02T11:15:04Z 10191.37
2019-01-02T11:20:03Z 10189.94
2019-01-02T11:25:05Z 10188.65
2019-01-02T11:30:04Z 10188.73
2019-01-02T11:35:09Z 10188.89
2019-01-02T11:40:04Z 10189.94
2019-01-02T11:45:04Z 10187.34
2019-01-02T11:50:09Z 10189.54
2019-01-02T11:55:04Z 10191.10
2019-01-02T12:00:04Z 10189.97
2019-01-02T12:05:04Z 10188.63
2019-01-02T12:10:04Z 10187.44
2019-01-02T12:15:09Z 10189.92
2019-01-02T12:20:03Z 10188.52
2019-01-02T12:25:09Z 10187.47
2019-01-02T12:30:04Z 10188.39
2019-01-02T12:35:04Z 10185.88
2019-01-02T12:40:03Z 10187.01
2019-01-02T12:45:09Z 10187.44
2019-01-02T12:50:04Z 10188.63
2019-01-02T12:55:09Z 10192.29
2019-01-02T13:00:04Z 10192.15
2019-01-02T13:05:04Z 10191.56
2019-01-02T13:10:04Z 10191.59
2019-01-02T13:15:03Z 10194.33
2019-01-02T13:20:04Z 10195.25
2019-01-02T13:25:09Z 10197.78
2019-01-02T13:30:03Z 10197.19
2019-01-02T13:35:04Z 10198.38
2019-01-02T13:40:04Z 10200.69
2019-01-02T13:45:09Z 10201.61
2019-01-02T13:50:04Z 10201.90
2019-01-02T13:55:09Z 10203.12
2019-01-02T14:00:04Z 10204.74
2019-01-02T14:05:04Z 10203.66
2019-01-02T14:10:09Z 10205.98
2019-01-02T14:15:04Z 10208.40
2019-01-02T14:20:09Z 10208.51
2019-01-02T14:25:05Z 10211.80
2019-01-02T14:30:03Z 10214.50
2019-01-02T14:35:09Z 10215.49
2019-01-02T14:40:03Z 10215.71
2019-01-02T14:45:04Z 10216.90
2019-01-02T14:50:04Z 10215.15
2019-01-02T14:55:04Z 10215.73
2019-01-02T15:00:04Z 10216.83
2019-01-02T15:05:04Z 10217.80
2019-01-02T15:10:03Z 10220.06
2019-01-02T15:15:03Z 10223.46
2019-01-02T15:20:04Z 10222.74
2019-01-02T15:25:09Z 10223.26
2019-01-02T15:30:03Z 10222.02
2019-01-02T15:35:09Z 10223.65
2019-01-02T15:40:09Z 10222.82
2019-01-02T15:45:08Z 10221.88
2019-01-02T15:50:04Z 10220.88
2019-01-02T15:55:08Z 10222.59
2019-01-02T16:00:04Z 10221.68
2019-01-02T16:05:04Z 10220.71
2019-01-02T16:10:04Z 10222.04
2019-01-02T16:15:04Z 10222.01
2019-01-02T16:20:04Z 10220.96
2019-01-02T16:25:04Z 10220.85
2019-01-02T16:30:04Z 10224.17
2019-01-02T16:35:05Z 10221.76
2019-01-02T16:40:04Z 10223.89
2019-01-02T16:45:05Z 10224.17
2019-01-02T16:50:05Z 10225.72
2019-01-02T16:55:04Z 10225.14
2019-01-02T17:00:04Z 10223.62
2019-01-02T17:05:04Z 10225.28
2019-01-02T17:10:09Z 10227.13
2019-01-02T17:15:04Z 10228.10
2019-01-02T17:20:04Z 10229.76
2019-01-02T17:25:04Z 10230.67
2019-01-02T17:30:03Z 10229.93
2019-01-02T17:35:04Z 10229.93
2019-01-02T17:40:05Z 10229.87
2019-01-02T17:45:05Z 10230.01
2019-01-02T17:50:05Z 10231.57
2019-01-02T17:55:04Z 10231.45
2019-01-02T18:00:04Z 10234.06
2019-01-02T18:05:09Z 10234.23
2019-01-02T18:10:04Z 10237.63
2019-01-02T18:15:09Z 10240.20
2019-01-02T18:20:03Z 10240.74
2019-01-02T18:25:09Z 10241.02
2019-01-02T18:30:04Z 10242.95
2019-01-02T18:35:09Z 10243.32
2019-01-02T18:40:04Z 10243.09
2019-01-02T18:45:05Z 10243.97
2019-01-02T18:50:03Z 10244.99
2019-01-02T18:55:04Z 10244.69
2019-01-02T19:00:04Z 10246.59
2019-01-02T19:05:03Z 10245.60
2019-01-02T19:10:09Z 10246.87
2019-01-02T19:15:11Z 10248.12
2019-01-02T19:20:09Z 10247.84
2019-01-02T19:25:03Z 10247.22
2019-01-02T19:30:09Z 10247.19
2019-01-02T19:35:04Z 10248.48
2019-01-02T19:40:03Z 10248.34
2019-01-02T19:45:09Z 10246.95
2019-01-02T19:50:04Z 10246.90
2019-01-02T19:55:04Z 10248.66
2019-01-02T20:00:04Z 10248.94
2019-01-02T20:05:04Z 10248.67
2019-01-02T20:10:04Z 10247.95
2019-01-02T20:15:03Z 10248.42
2019-01-02T20:20:04Z 10249.05
2019-01-02T20:25:04Z 10249.39
2019-01-02T20:30:05Z 10248.76
2019-01-02T20:35:04Z 10248.65
2019-01-02T20:40:04Z 10250.40
2019-01-02T20:45:04Z 10249.43
2019-01-02T20:50:03Z 10250.51
2019-01-02T20:55:05Z 10248.41
2019-01-02T21:00:04Z 10249.77
2019-01-02T21:05:04Z 10250.37
2019-01-02T21:10:04Z 10249.78
2019-01-02T21:15:04Z 10248.84
2019-01-02T21:20:04Z 10248.10
2019-01-02T21:25:04Z 10250.26
2019-01-02T21:30:03Z 10247.93
2019-01-02T21:35:08Z 10248.33
2019-01-02T21:40:04Z 10249.63
2019-01-02T21:45:09Z 10250.57
2019-01-02T21:50:04Z 10252.47
2019-01-02T21:55:04Z 10250.99
2019-01-02T22:00:04Z 10251.11
2019-01-02T22:05:04Z 10250.85
2019-01-02T22:10:03Z 10248.68
2019-01-02T22:15:09Z 10248.52
2019-01-02T22:20:04Z 10249.04
2019-01-02T22:30:05Z 10250.28
2019-01-02T22:35:03Z 10249.09
2019-01-02T22:40:04Z 10248.87
2019-01-02T22:45:04Z 10249.04
2019-01-02T22:50:04Z 10248.62
2019-01-02T22:55:04Z 10250.17
2019-01-02T23:00:04Z 10250.57
2019-01-02T23:05:04Z 10250.23
2019-01-02T23:10:04Z 10250.40
2019-01-02T23:15:09Z 10250.62
2019-01-02T23:20:04Z 10250.62
2019-01-02T23:25:03Z 10251.50
2019-01-02T23:30:05Z 10251.87
2019-01-02T23:35:03Z 10252.95
2019-01-02T23:40:09Z 10251.76
2019-01-02T23:45:04Z 10250.14
2019-01-02T23:50:04Z 10251.33
2019-01-02T23:55:03Z 10252.13
2019-01-03T00:00:04Z 10253.52
2019-01-03T00:05:04Z 10253.41
2019-01-03T00:10:04Z 10255.70
2019-01-03T00:15:08Z 10256.35
2019-01-03T00:20:04Z 10256.52
2019-01-03T00:25:09Z 10257.64
2019-01-03T00:30:04Z 10257.73
2019-01-03T00:35:09Z 10257.47
2019-01-03T00:40:05Z 10255.49
2019-01-03T00:45:04Z 10256.88
2019-01-03T00:50:09Z 10257.11
2019-01-03T00:55:04Z 10259.18
2019-01-03T01:00:04Z 10259.35
2019-01-03T01:05:09Z 10260.00
2019-01-03T01:10:04Z 10260.71
2019-01-03T01:15:09Z 10261.25
2019-01-03T01:20:04Z 10261.28
2019-01-03T01:25:08Z 10261.05
2019-01-03T01:30:04Z 10260.09
2019-01-03T01:35:03Z 10261.50
2019-01-03T01:40:04Z 10262.24
2019-01-03T01:45:03Z 10264.28
2019-01-03T01:50:09Z 10265.22
2019-01-03T01:55:04Z 10263.61
2019-01-03T02:00:03Z 10262.58
2019-01-03T02:05:09Z 10262.92
2019-01-03T02:10:04Z 10263.55
2019-01-03T02:15:09Z 10263.66
2019-01-03T02:20:03Z 10262.08
2019-01-03T02:25:05Z 10263.55
2019-01-03T02:30:09Z 10262.67
2019-01-03T02:35:04Z 10262.98
2019-01-03T02:40:09Z 10260.99
2019-01-03T02:45:04Z 10261.10
2019-01-03T02:50:09Z 10261.89
2019-01-03T02:55:03Z 10260.08
2019-01-03T03:00:09Z 10260.93
2019-01-03T03:05:04Z 10261.38
2019-01-03T03:10:04Z 10260.87
2019-01-03T03:15:08Z 10261.35
2019-01-03T03:20:04Z 10260.64
2019-01-03T03:25:09Z 10260.24
2019-01-03T03:30:03Z 10260.24
2019-01-03T03:35:09Z 10260.36
2019-01-03T03:40:04Z 10259.96
2019-01-03T03:45:09Z 10262.12
2019-01-03T03:50:04Z 10261.78
2019-01-03T03:55:09Z 10259.39
2019-01-03T04:00:09Z 10261.83
2019-01-03T04:05:04Z 10262.00
2019-01-03T04:10:09Z 10263.42
2019-01-03T04:15:04Z 10263.99
